Metric,Content-Based,Collaborative,Hybrid
RMSE,1.0381343381401478,1.0046990576838168,0.9276036837683193
MAE,0.7828668948554438,0.7687371248318121,0.7117361547160596
Precision@10,0.5783606557377049,0.6201639344262295,0.6168852459016394
Recall@10,0.6398905653911483,0.6631176677005689,0.661091880601315
F1-Score,0.6075717726875177,0.6409219318771096,0.6382239851886373
Coverage,52.781769657154584,52.781769657154584,52.781769657154584
Diversity,1.0,1.0,1.0
